cidade_slug,cidade_origem,canal,indicador_id,mes_ref,meta
acarau-ce,ACARAU/CE,LOJA,ativacao,2026-01-01,80
acarau-ce,ACARAU/CE,LOJA,instalacao,2026-01-01,36
acarau-ce,ACARAU/CE,PAP,ativacao,2026-01-01,30
acarau-ce,ACARAU/CE,PAP,orcamento,2026-01-01,66
acarau-ce,ACARAU/CE,PAP,efetivado,2026-01-01,60
acarau-ce,ACARAU/CE,PAP,instalacao,2026-01-01,54
acopiara-ce,ACOPIARA/CE,LOJA,ativacao,2026-01-01,80
acopiara-ce,ACOPIARA/CE,LOJA,instalacao,2026-01-01,38
acopiara-ce,ACOPIARA/CE,PAP,ativacao,2026-01-01,10
acopiara-ce,ACOPIARA/CE,PAP,orcamento,2026-01-01,22
acopiara-ce,ACOPIARA/CE,PAP,efetivado,2026-01-01,20
acopiara-ce,ACOPIARA/CE,PAP,instalacao,2026-01-01,18
acu-rn,ACU/RN,DONO CIDADE - LOJAS,ativacao,2026-01-01,120
acu-rn,ACU/RN,DONO CIDADE - LOJAS,instalacao,2026-01-01,51
acu-rn,ACU/RN,LOJA,ativacao,2026-01-01,44
acu-rn,ACU/RN,LOJA,instalacao,2026-01-01,13
agua-nova-rn,AGUA NOVA/RN,PAP,ativacao,2026-01-01,10
agua-nova-rn,AGUA NOVA/RN,PAP,orcamento,2026-01-01,22
agua-nova-rn,AGUA NOVA/RN,PAP,efetivado,2026-01-01,20
agua-nova-rn,AGUA NOVA/RN,PAP,instalacao,2026-01-01,18
alagoinhas-ba,ALAGOINHAS/BA,LOJA,instalacao,2026-01-01,40
altos-pi,ALTOS/PI,DONO CIDADE - LOJAS,instalacao,2026-01-01,24
apodi-rn,APODI/RN,DONO CIDADE - LOJAS,ativacao,2026-01-01,96
apodi-rn,APODI/RN,PAP,ativacao,2026-01-01,0
apodi-rn,APODI/RN,PAP,orcamento,2026-01-01,39
apodi-rn,APODI/RN,PAP,efetivado,2026-01-01,34
apodi-rn,APODI/RN,PAP,instalacao,2026-01-01,32
aracaju-se,ARACAJU/SE,LOJA,instalacao,2026-01-01,63
arapiraca-al,ARAPIRACA/AL,LOJA,instalacao,2026-01-01,20
araripina-pe,ARARIPINA / PE,PAP,ativacao,2026-01-01,0
araripina-pe,ARARIPINA / PE,PAP,orcamento,2026-01-01,68
araripina-pe,ARARIPINA / PE,PAP,efetivado,2026-01-01,60
araripina-pe,ARARIPINA / PE,PAP,instalacao,2026-01-01,56
araripina-pe,ARARIPINA/PE,DONO CIDADE - LOJAS,ativacao,2026-01-01,40
araripina-pe,ARARIPINA/PE,DONO CIDADE - LOJAS,instalacao,2026-01-01,30
arcoverde-pe,ARCOVERDE / PE,PAP,ativacao,2026-01-01,0
arcoverde-pe,ARCOVERDE / PE,PAP,orcamento,2026-01-01,69
arcoverde-pe,ARCOVERDE / PE,PAP,efetivado,2026-01-01,61
arcoverde-pe,ARCOVERDE / PE,PAP,instalacao,2026-01-01,57
arcoverde-pe,ARCOVERDE/PE,LOJA,ativacao,2026-01-01,20
arcoverde-pe,ARCOVERDE/PE,LOJA,instalacao,2026-01-01,12
assu-rn,ASSU / RN,PAP,ativacao,2026-01-01,0
assu-rn,ASSU / RN,PAP,orcamento,2026-01-01,34
assu-rn,ASSU / RN,PAP,efetivado,2026-01-01,30
assu-rn,ASSU / RN,PAP,instalacao,2026-01-01,28
banabuiu-ce,BANABUIU/CE,LOJA,ativacao,2026-01-01,47
banabuiu-ce,BANABUIU/CE,LOJA,instalacao,2026-01-01,30
barauna-rn,BARAUNA/RN,LOJA,ativacao,2026-01-01,34
barauna-rn,BARAUNA/RN,LOJA,instalacao,2026-01-01,13
barbalha-ce,BARBALHA/CE,LOJA,ativacao,2026-01-01,40
barbalha-ce,BARBALHA/CE,LOJA,instalacao,2026-01-01,25
barbalha-ce,BARBALHA/CE,PAP,ativacao,2026-01-01,9
barbalha-ce,BARBALHA/CE,PAP,orcamento,2026-01-01,21
barbalha-ce,BARBALHA/CE,PAP,efetivado,2026-01-01,19
barbalha-ce,BARBALHA/CE,PAP,instalacao,2026-01-01,17
bayeux-pb,BAYEUX / PB,PAP,ativacao,2026-01-01,0
bayeux-pb,BAYEUX / PB,PAP,orcamento,2026-01-01,180
bayeux-pb,BAYEUX / PB,PAP,efetivado,2026-01-01,160
bayeux-pb,BAYEUX / PB,PAP,instalacao,2026-01-01,150
bayeux-pb,BAYEUX/PB,DONO CIDADE - LOJAS,ativacao,2026-01-01,45
bayeux-pb,BAYEUX/PB,DONO CIDADE - LOJAS,instalacao,2026-01-01,21
belo-jardim-pe,BELO JARDIM / PE,PAP,ativacao,2026-01-01,0
belo-jardim-pe,BELO JARDIM / PE,PAP,orcamento,2026-01-01,80
belo-jardim-pe,BELO JARDIM / PE,PAP,efetivado,2026-01-01,72
belo-jardim-pe,BELO JARDIM / PE,PAP,instalacao,2026-01-01,67
belo-jardim-pe,BELO JARDIM/PE,LOJA,ativacao,2026-01-01,44
belo-jardim-pe,BELO JARDIM/PE,LOJA,instalacao,2026-01-01,32
bezerros-pe,BEZERROS/PE,LOJA,ativacao,2026-01-01,50
bezerros-pe,BEZERROS/PE,LOJA,instalacao,2026-01-01,34
bezerros-pe,BEZERROS/PE,PAP,ativacao,2026-01-01,11
bezerros-pe,BEZERROS/PE,PAP,orcamento,2026-01-01,23
bezerros-pe,BEZERROS/PE,PAP,efetivado,2026-01-01,21
bezerros-pe,BEZERROS/PE,PAP,instalacao,2026-01-01,19
bom-conselho-pe,BOM CONSELHO/PE,4 J LOJAS,ativacao,2026-01-01,30
bom-conselho-pe,BOM CONSELHO/PE,4 J LOJAS,instalacao,2026-01-01,14
brejo-santo-ce,BREJO SANTO/CE,LOJA,ativacao,2026-01-01,42
brejo-santo-ce,BREJO SANTO/CE,LOJA,instalacao,2026-01-01,16
brejo-santo-ce,BREJO SANTO/CE,PAP,ativacao,2026-01-01,30
brejo-santo-ce,BREJO SANTO/CE,PAP,orcamento,2026-01-01,66
brejo-santo-ce,BREJO SANTO/CE,PAP,efetivado,2026-01-01,60
brejo-santo-ce,BREJO SANTO/CE,PAP,instalacao,2026-01-01,54
brejo-santo-ce,BREJO SANTO/CE,QUIOSQUES,ativacao,2026-01-01,10
